timestamp,source_ip,destination_ip,src_port,dst_port,protocol,final_label,confidence,attack_votes,total_models,threshold,vote_k,agg_method,model_probabilities
2026-01-06 22:38:19,10.11.163.74,10.11.163.210,53,56618,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:19,10.11.163.74,10.11.163.210,53,51311,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:19,10.11.163.74,10.11.163.210,53,63334,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:19,10.11.163.210,10.11.163.74,53399,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:19,10.11.163.210,10.11.163.74,59660,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:19,10.11.163.210,10.11.163.74,63932,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:19,10.11.163.210,10.11.163.74,53873,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:19,10.11.163.210,10.11.163.74,63167,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:19,10.11.163.210,10.11.163.74,54870,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,59212,53,TCP,ATTACK,0.498781,4,8,0.5,3,voting+mean,"{'LogisticRegression': 1.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,52673,53,TCP,ATTACK,0.498781,4,8,0.5,3,voting+mean,"{'LogisticRegression': 1.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,53399,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,59660,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,63932,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,53873,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,63167,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
